timestamp,datetime_utc,open,high,low,close,volume
1609459200000,2021-01-01T00:00:00+00:00,5.664,5.711,5.611,5.695,61635.98123
1609462800000,2021-01-01T01:00:00+00:00,5.696,5.762,5.678,5.737,117997.62916
1609466400000,2021-01-01T02:00:00+00:00,5.737,5.779,5.71,5.773,57043.81741
1609470000000,2021-01-01T03:00:00+00:00,5.776,5.779,5.728,5.733,48476.78285
1609473600000,2021-01-01T04:00:00+00:00,5.734,5.862,5.73,5.78,123647.0064
1609477200000,2021-01-01T05:00:00+00:00,5.783,5.789,5.752,5.752,36010.4547
1609480800000,2021-01-01T06:00:00+00:00,5.754,5.792,5.712,5.743,61058.18655
1609484400000,2021-01-01T07:00:00+00:00,5.741,5.748,5.677,5.716,49614.36192
1609488000000,2021-01-01T08:00:00+00:00,5.713,5.725,5.611,5.65,113650.63902
1609491600000,2021-01-01T09:00:00+00:00,5.648,5.709,5.648,5.703,49521.42066
1609495200000,2021-01-01T10:00:00+00:00,5.704,5.755,5.699,5.744,51768.67821
1609498800000,2021-01-01T11:00:00+00:00,5.743,5.778,5.735,5.746,43205.01735
1609502400000,2021-01-01T12:00:00+00:00,5.747,5.775,5.733,5.734,79269.08001
1609506000000,2021-01-01T13:00:00+00:00,5.737,5.773,5.723,5.758,34663.2178
1609509600000,2021-01-01T14:00:00+00:00,5.757,5.868,5.74,5.776,98178.25341
1609513200000,2021-01-01T15:00:00+00:00,5.776,5.791,5.716,5.733,69273.85047
1609516800000,2021-01-01T16:00:00+00:00,5.737,5.778,5.718,5.762,57672.71119
1609520400000,2021-01-01T17:00:00+00:00,5.759,5.784,5.644,5.681,75751.74504
1609524000000,2021-01-01T18:00:00+00:00,5.676,5.696,5.602,5.664,79423.5632
1609527600000,2021-01-01T19:00:00+00:00,5.653,5.662,5.617,5.638,36046.76798
1609531200000,2021-01-01T20:00:00+00:00,5.636,5.674,5.618,5.669,29888.09517
1609534800000,2021-01-01T21:00:00+00:00,5.669,5.677,5.653,5.666,16629.99107
1609538400000,2021-01-01T22:00:00+00:00,5.658,5.701,5.657,5.7,20663.25775
1609542000000,2021-01-01T23:00:00+00:00,5.695,5.71,5.688,5.696,13552.47232
1609545600000,2021-01-02T00:00:00+00:00,5.696,5.719,5.566,5.587,152198.99899
1609549200000,2021-01-02T01:00:00+00:00,5.587,5.655,5.579,5.646,46563.77492
1609552800000,2021-01-02T02:00:00+00:00,5.645,5.668,5.635,5.641,37478.95256
1609556400000,2021-01-02T03:00:00+00:00,5.643,5.658,5.638,5.653,15658.59852
1609560000000,2021-01-02T04:00:00+00:00,5.654,5.685,5.617,5.685,52661.93161
1609563600000,2021-01-02T05:00:00+00:00,5.685,5.704,5.674,5.695,31652.60723
1609567200000,2021-01-02T06:00:00+00:00,5.697,5.709,5.678,5.698,31256.7666
1609570800000,2021-01-02T07:00:00+00:00,5.701,5.724,5.688,5.691,23092.92229
1609574400000,2021-01-02T08:00:00+00:00,5.694,5.704,5.661,5.683,31000.38015
1609578000000,2021-01-02T09:00:00+00:00,5.685,5.686,5.63,5.636,43841.88963
1609581600000,2021-01-02T10:00:00+00:00,5.637,5.741,5.621,5.651,95204.7914
1609585200000,2021-01-02T11:00:00+00:00,5.653,5.676,5.646,5.666,46803.32707
1609588800000,2021-01-02T12:00:00+00:00,5.665,5.748,5.634,5.743,130915.80865
1609592400000,2021-01-02T13:00:00+00:00,5.744,5.82,5.712,5.799,159055.17689
1609596000000,2021-01-02T14:00:00+00:00,5.802,5.832,5.74,5.768,118972.72309
1609599600000,2021-01-02T15:00:00+00:00,5.767,5.813,5.762,5.802,51789.17895
1609603200000,2021-01-02T16:00:00+00:00,5.806,5.925,5.762,5.925,205786.28975
1609606800000,2021-01-02T17:00:00+00:00,5.925,5.959,5.838,5.869,152608.70513
1609610400000,2021-01-02T18:00:00+00:00,5.869,5.96,5.834,5.865,147676.85712
1609614000000,2021-01-02T19:00:00+00:00,5.865,5.898,5.833,5.862,91836.96084
1609617600000,2021-01-02T20:00:00+00:00,5.863,5.866,5.686,5.689,215126.77355
1609621200000,2021-01-02T21:00:00+00:00,5.695,5.753,5.628,5.726,73034.78556
1609624800000,2021-01-02T22:00:00+00:00,5.734,5.773,5.688,5.773,54215.41982
1609628400000,2021-01-02T23:00:00+00:00,5.768,5.787,5.737,5.778,35908.60709
1609632000000,2021-01-03T00:00:00+00:00,5.781,5.815,5.757,5.813,62710.82167
1609635600000,2021-01-03T01:00:00+00:00,5.811,5.834,5.791,5.817,51833.13642
