timestamp,datetime_utc,open,high,low,close,volume
1609459200000,2021-01-01T00:00:00+00:00,0.2196,0.2224,0.2161,0.2217,6870579.424
1609462800000,2021-01-01T01:00:00+00:00,0.2217,0.2271,0.2213,0.2238,6056022.617
1609466400000,2021-01-01T02:00:00+00:00,0.224,0.2251,0.2232,0.2238,2828061.732
1609470000000,2021-01-01T03:00:00+00:00,0.2237,0.2291,0.2235,0.2273,4570788.377
1609473600000,2021-01-01T04:00:00+00:00,0.2272,0.2504,0.2266,0.2393,28931588.545
1609477200000,2021-01-01T05:00:00+00:00,0.2391,0.2417,0.2349,0.2383,8578155.49
1609480800000,2021-01-01T06:00:00+00:00,0.2384,0.239,0.2305,0.2345,7521112.759
1609484400000,2021-01-01T07:00:00+00:00,0.2344,0.2345,0.226,0.2295,16524009.726
1609488000000,2021-01-01T08:00:00+00:00,0.2295,0.2319,0.2245,0.2287,6113178.907
1609491600000,2021-01-01T09:00:00+00:00,0.2287,0.2361,0.2286,0.2327,7710325.463
1609495200000,2021-01-01T10:00:00+00:00,0.2326,0.2392,0.2305,0.2371,7910199.462
1609498800000,2021-01-01T11:00:00+00:00,0.2371,0.2424,0.2357,0.2376,8665793.777
1609502400000,2021-01-01T12:00:00+00:00,0.2375,0.2403,0.2313,0.2333,7957343.877
1609506000000,2021-01-01T13:00:00+00:00,0.2333,0.2364,0.2333,0.2344,3261680.36
1609509600000,2021-01-01T14:00:00+00:00,0.2344,0.2379,0.2327,0.2368,3836555.426
1609513200000,2021-01-01T15:00:00+00:00,0.2368,0.2446,0.2366,0.243,9116807.057
1609516800000,2021-01-01T16:00:00+00:00,0.2431,0.2495,0.2403,0.2467,11060174.203
1609520400000,2021-01-01T17:00:00+00:00,0.2464,0.25,0.2343,0.2368,15513500.894
1609524000000,2021-01-01T18:00:00+00:00,0.2368,0.2409,0.2289,0.2346,12677649.485
1609527600000,2021-01-01T19:00:00+00:00,0.2345,0.2367,0.2301,0.2339,10198578.687
1609531200000,2021-01-01T20:00:00+00:00,0.2338,0.2382,0.2326,0.2372,3495161.279
1609534800000,2021-01-01T21:00:00+00:00,0.2371,0.2411,0.2367,0.2377,3639700.218
1609538400000,2021-01-01T22:00:00+00:00,0.2377,0.2397,0.2371,0.2379,1632676.869
1609542000000,2021-01-01T23:00:00+00:00,0.2379,0.2398,0.2342,0.2375,3913035.233
1609545600000,2021-01-02T00:00:00+00:00,0.2375,0.2377,0.2308,0.2322,6434752.438
1609549200000,2021-01-02T01:00:00+00:00,0.2323,0.2377,0.2312,0.2366,5587401.465
1609552800000,2021-01-02T02:00:00+00:00,0.2366,0.2382,0.2335,0.2337,3956870.675
1609556400000,2021-01-02T03:00:00+00:00,0.2339,0.2352,0.2337,0.2347,2008550.317
1609560000000,2021-01-02T04:00:00+00:00,0.2347,0.2349,0.2325,0.2347,3673840.722
1609563600000,2021-01-02T05:00:00+00:00,0.2347,0.2364,0.2337,0.2356,2455575.331
1609567200000,2021-01-02T06:00:00+00:00,0.2356,0.2357,0.2325,0.234,2053232.997
1609570800000,2021-01-02T07:00:00+00:00,0.234,0.2377,0.2333,0.2335,2575451.627
1609574400000,2021-01-02T08:00:00+00:00,0.2334,0.2342,0.2266,0.2279,5946154.689
1609578000000,2021-01-02T09:00:00+00:00,0.2279,0.2293,0.2218,0.2229,10458173.138
1609581600000,2021-01-02T10:00:00+00:00,0.2227,0.2284,0.2225,0.2258,5489314.443
1609585200000,2021-01-02T11:00:00+00:00,0.2257,0.2283,0.2257,0.2276,2796549.028
1609588800000,2021-01-02T12:00:00+00:00,0.2277,0.2335,0.2258,0.232,8275790.042
1609592400000,2021-01-02T13:00:00+00:00,0.232,0.2322,0.227,0.2308,7486545.639
1609596000000,2021-01-02T14:00:00+00:00,0.2309,0.2309,0.2278,0.2281,3236729.327
1609599600000,2021-01-02T15:00:00+00:00,0.2282,0.23,0.2273,0.2288,2696641.925
1609603200000,2021-01-02T16:00:00+00:00,0.2287,0.2287,0.215,0.2222,15215904.515
1609606800000,2021-01-02T17:00:00+00:00,0.2222,0.2284,0.2206,0.2232,10657057.278
1609610400000,2021-01-02T18:00:00+00:00,0.2231,0.2253,0.2211,0.2232,6092330.39
1609614000000,2021-01-02T19:00:00+00:00,0.2233,0.2241,0.2198,0.2206,4707949.139
1609617600000,2021-01-02T20:00:00+00:00,0.2207,0.2219,0.2164,0.2178,8624268.354
1609621200000,2021-01-02T21:00:00+00:00,0.2177,0.2289,0.2115,0.2243,12067872.324
1609624800000,2021-01-02T22:00:00+00:00,0.2242,0.2242,0.2202,0.221,3531156.442
1609628400000,2021-01-02T23:00:00+00:00,0.221,0.2219,0.2187,0.2207,3575432.539
1609632000000,2021-01-03T00:00:00+00:00,0.2206,0.2211,0.2173,0.218,4612104.304
1609635600000,2021-01-03T01:00:00+00:00,0.2181,0.2223,0.2179,0.2193,4791191.694
1609639200000,2021-01-03T02:00:00+00:00,0.2193,0.2235,0.2192,0.2223,4641296.499
1609642800000,2021-01-03T03:00:00+00:00,0.2224,0.2227,0.2208,0.2214,3369506.693
1609646400000,2021-01-03T04:00:00+00:00,0.2213,0.2252,0.2212,0.2228,3768018.402
1609650000000,2021-01-03T05:00:00+00:00,0.2229,0.2246,0.2196,0.221,4506928.376
1609653600000,2021-01-03T06:00:00+00:00,0.221,0.2223,0.2187,0.22,3970567.815
1609657200000,2021-01-03T07:00:00+00:00,0.22,0.2206,0.215,0.2179,7643942.928
1609660800000,2021-01-03T08:00:00+00:00,0.2179,0.2198,0.217,0.2181,6013477.676
1609664400000,2021-01-03T09:00:00+00:00,0.2182,0.2221,0.2177,0.2193,8194570.667
1609668000000,2021-01-03T10:00:00+00:00,0.2191,0.2193,0.2161,0.2184,4192592.928
1609671600000,2021-01-03T11:00:00+00:00,0.2186,0.2266,0.2185,0.2211,9780102.818
1609675200000,2021-01-03T12:00:00+00:00,0.221,0.2247,0.2209,0.2234,6001617.067
1609678800000,2021-01-03T13:00:00+00:00,0.2233,0.2252,0.2202,0.2211,8656443.174
1609682400000,2021-01-03T14:00:00+00:00,0.2212,0.2247,0.2188,0.2197,8139875.114
1609686000000,2021-01-03T15:00:00+00:00,0.2202,0.2234,0.2172,0.2211,7271329.303
1609689600000,2021-01-03T16:00:00+00:00,0.221,0.2355,0.2193,0.2281,16574571.593
1609693200000,2021-01-03T17:00:00+00:00,0.2281,0.2386,0.2281,0.2313,16794604.644
1609696800000,2021-01-03T18:00:00+00:00,0.2311,0.2321,0.2211,0.2253,10890675.357
1609700400000,2021-01-03T19:00:00+00:00,0.2252,0.2263,0.2226,0.2251,4637037.053
1609704000000,2021-01-03T20:00:00+00:00,0.2251,0.2263,0.2228,0.225,4449646.601
1609707600000,2021-01-03T21:00:00+00:00,0.225,0.2295,0.2249,0.2281,3773151.58
1609711200000,2021-01-03T22:00:00+00:00,0.2281,0.2282,0.2239,0.2248,2627368.622
1609714800000,2021-01-03T23:00:00+00:00,0.2249,0.2293,0.223,0.2252,4827739.677
1609718400000,2021-01-04T00:00:00+00:00,0.2253,0.2283,0.2226,0.2272,5946763.943
1609722000000,2021-01-04T01:00:00+00:00,0.2272,0.2336,0.2264,0.232,6203791.919
1609725600000,2021-01-04T02:00:00+00:00,0.232,0.2355,0.2303,0.2314,6024887.184
1609729200000,2021-01-04T03:00:00+00:00,0.2313,0.2326,0.2302,0.2325,7057163.972
1609732800000,2021-01-04T04:00:00+00:00,0.2326,0.24,0.2302,0.2394,10736756.334
1609736400000,2021-01-04T05:00:00+00:00,0.2396,0.2399,0.233,0.2337,8692133.227
1609740000000,2021-01-04T06:00:00+00:00,0.2337,0.2606,0.2324,0.2564,22599519.006
1609743600000,2021-01-04T07:00:00+00:00,0.2564,0.2565,0.2334,0.2399,29450944.053
1609747200000,2021-01-04T08:00:00+00:00,0.2402,0.2452,0.2274,0.235,18455757.565
1609750800000,2021-01-04T09:00:00+00:00,0.235,0.2376,0.2224,0.2309,20229444.344
1609754400000,2021-01-04T10:00:00+00:00,0.2309,0.2329,0.2155,0.2281,22168585.518
1609758000000,2021-01-04T11:00:00+00:00,0.2281,0.2322,0.2243,0.2316,9465211.53
1609761600000,2021-01-04T12:00:00+00:00,0.2317,0.232,0.2276,0.2277,8363441.576
1609765200000,2021-01-04T13:00:00+00:00,0.2279,0.2294,0.2252,0.2293,6504320.915
1609768800000,2021-01-04T14:00:00+00:00,0.2293,0.2323,0.2275,0.2298,6024208.457
1609772400000,2021-01-04T15:00:00+00:00,0.2299,0.235,0.2295,0.2339,7044906.921
1609776000000,2021-01-04T16:00:00+00:00,0.2338,0.2405,0.2287,0.2321,11355211.116
1609779600000,2021-01-04T17:00:00+00:00,0.2325,0.2336,0.2276,0.2303,4895911.615
1609783200000,2021-01-04T18:00:00+00:00,0.2304,0.2326,0.2301,0.2312,2880040.956
1609786800000,2021-01-04T19:00:00+00:00,0.2311,0.2323,0.2287,0.2314,2958238.712
1609790400000,2021-01-04T20:00:00+00:00,0.2314,0.2329,0.2296,0.2298,3078576.698
1609794000000,2021-01-04T21:00:00+00:00,0.2299,0.2328,0.2283,0.2303,3106296.63
1609797600000,2021-01-04T22:00:00+00:00,0.2303,0.2357,0.2298,0.235,3095366.374
1609801200000,2021-01-04T23:00:00+00:00,0.2351,0.2378,0.2319,0.2358,5177304.654
1609804800000,2021-01-05T00:00:00+00:00,0.2357,0.2397,0.2325,0.2365,8035829.834
1609808400000,2021-01-05T01:00:00+00:00,0.2365,0.2376,0.2337,0.236,5596952.487
1609812000000,2021-01-05T02:00:00+00:00,0.236,0.2361,0.2312,0.2333,4684494.898
1609815600000,2021-01-05T03:00:00+00:00,0.2333,0.2345,0.2269,0.2278,7240399.196
1609819200000,2021-01-05T04:00:00+00:00,0.2277,0.2307,0.2251,0.228,7194497.936
1609822800000,2021-01-05T05:00:00+00:00,0.2279,0.2305,0.226,0.2281,6314810.232
1609826400000,2021-01-05T06:00:00+00:00,0.2279,0.2314,0.2269,0.2304,3890776.985
1609830000000,2021-01-05T07:00:00+00:00,0.2304,0.2312,0.2292,0.2298,2230647.486
1609833600000,2021-01-05T08:00:00+00:00,0.2299,0.232,0.2298,0.2319,3132438.693
1609837200000,2021-01-05T09:00:00+00:00,0.2319,0.2357,0.2319,0.2334,4725128.131
1609840800000,2021-01-05T10:00:00+00:00,0.2336,0.2356,0.2323,0.2345,5309708.206
1609844400000,2021-01-05T11:00:00+00:00,0.2345,0.2429,0.2343,0.2381,7492759.117
1609848000000,2021-01-05T12:00:00+00:00,0.2383,0.2393,0.2342,0.2352,5080426.455
